ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp
2017-11-13 20:48:34+00:00,"iOS 11.0.2 (iPhone9,4)",54729,US,10 Feet Down,NF,Perception,spotify:track:68biLwi894rMQPeIiSky2t,fwdbtn,endplay,False,False,True,1510605546015.0
2017-11-13 20:49:27+00:00,"iOS 11.0.2 (iPhone9,4)",190733,US,You Make My Dreams (Come True),Daryl Hall & John Oates,Voices,spotify:track:4o6BgsqLIBViaGVbx5rbRk,trackdone,trackdone,False,False,False,
2017-11-14 03:01:42+00:00,Windows 10 (10.0.15063; x64),61890,US,Worth The Lie,MUZZ,Monstercat Uncaged Vol. 3,spotify:track:231QxTX8uv5AMyhljix406,clickrow,fwdbtn,False,False,False,
2017-11-14 17:59:46+00:00,Windows 10 (10.0.15063; x64),15510,US,Without You (feat. Dylan Matthew),SLANDER,Monstercat Uncaged Vol. 3,spotify:track:56MUSniHTKjOsMHwVCe33I,fwdbtn,logout,False,False,False,
2017-11-15 01:32:55+00:00,Windows 10 (10.0.15063; x64),61300,US,Doo Wop (That Thing) - Edit,Ms. Lauryn Hill,"R&B - 100 Hits - The Greatest R n B album - 100 R & B Classics featuring Usher, Pitbull and Justin Timberlake",spotify:track:0YfNXMKlh46m6aAhHOrmls,clickrow,endplay,False,False,False,
2017-11-15 01:33:28+00:00,"iOS 11.0.2 (iPhone9,4)",260714,US,Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,spotify:track:5ChkMS8OtdzJeqyybCc9R5,trackdone,unexpected-exit-while-paused,False,False,False,
2017-11-15 01:36:23+00:00,Windows 10 (10.0.15063; x64),209413,US,Don't Stop Me Now - Remastered 2011,Queen,Jazz,spotify:track:7hQJA50XrCWABAu5v6QZ4i,clickrow,trackdone,False,False,False,
2017-11-15 01:39:59+00:00,Windows 10 (10.0.15063; x64),214653,US,Another One Bites The Dust - Remastered 2011,Queen,The Game,spotify:track:57JVGBtBLCfHw2muk5416J,trackdone,trackdone,False,False,False,
2017-11-15 01:44:17+00:00,Windows 10 (10.0.15063; x64),258013,US,I Want To Break Free - Remastered 2011,Queen,The Works - Deluxe Remastered Version,spotify:track:7h2yhVxcZOGyQdOwD4Hu8J,trackdone,trackdone,False,False,False,
2017-11-15 16:28:16+00:00,"iOS 11.0.2 (iPhone9,4)",209413,US,Don't Stop Me Now - Remastered 2011,Queen,Jazz,spotify:track:7hQJA50XrCWABAu5v6QZ4i,clickrow,trackdone,False,False,False,
2017-11-15 16:30:47+00:00,"iOS 11.0.2 (iPhone9,4)",0,US,All Star,Smash Mouth,Astro Lounge,spotify:track:3cfOd4CMv2snFaKAnMdnvK,trackdone,endplay,False,False,False,
